Videocard Name,G3D Mark -,G2D Mark -
GRID GTX P40-6,"4,340",277
GRID K1,811,463
GRID K120Q,293,278
GRID K140Q,728,457
GRID K160Q,628,262
GRID K180Q,534,113
GRID K2,"2,737",319
GRID K220Q,912,539
GRID K240Q,"2,541",212
GRID K260Q,"2,949",361
GRID K280Q,"2,840",371
GRID K520,"3,399",174
GRID M10-0Q,914,613
GRID M10-1B,"2,310",417
GRID M10-1Q,"3,351",556
GRID M10-2B,"2,333",201
GRID M10-2Q,"2,654",75
GRID M10-4Q,"3,224",486
GRID M10-8Q,"2,606",557
GRID M6-0B,912,764
GRID M6-1Q,"2,069",423
GRID M6-8Q,"3,568",556
GRID M60-0B,"1,838",596
GRID M60-0Q,827,516
GRID M60-1B,"4,457",483
GRID M60-1Q,"4,251",211
GRID M60-2Q,"4,316",339
GRID M60-4Q,"3,831",278
GRID M60-8A,"5,523",380
GRID M60-8Q,"3,884",618
GRID P100-16Q,"5,945",757
GRID P100-1B,"2,223",544
GRID P100-8Q,"3,841",481
GRID P40-24Q,"4,728",653
GRID P40-2B,"3,354",633
GRID P40-2Q,"4,288",633
GRID P40-3Q,681,603
GRID P40-4Q,778,621
GRID P6-2Q,"3,926",337
GRID P6-4A,"2,639",42
GRID P6-4Q,"4,429",586
GRID RTX6000P-4Q,"4,283",76
GRID RTX6000P-6Q,"4,777",192
GRID RTX8000-2Q,"3,574",86
GRID RTX8000-4Q,"3,961",81
GRID RTX8000P-2Q,"3,843",84
GRID T4-1Q,"2,703",84
GRID T4-2B,"2,601",62
GRID T4-2Q,"3,031",79
GRID T4-4Q,"3,406",85
GRID T4-8Q,"4,284",89
GRID V100-8Q,16,149
GRID V100D-8Q,"4,156",518
GT 430,223,325
HD6450,221,417
HIS DIGITAL HD 4650 AGP,452,190
IGP 340M,1,39
IncrediblE HD,389,427
IncrediblE HD 3000,291,18
IncrediblE HD 4000,517,520
IncrediblE HD 4600,750,735
Intel - Express Chipset G41,57,325
Intel - Express Chipset Q45/Q43,58,336
Intel 2nd Generation SandyBridge HD,212,342
Intel 2nd Generation SandyBridge HD 3000,205,555
Intel 4th Generation Haswell HD,420,734
Intel 82845G Controller,2,132
Intel 82845G/GL Controller,3,176
Intel 82845G/GL/GE/PE/GV Controller,3,159
Intel 82852/82855 GM/GME Controller,1,107
Intel 82865G Controller,5,194
Intel 82915G Express,6,206
Intel 82915G/915GV/910GL,4,95
Intel 82915G/GV/910GL Advanced v3.5,3,94
Intel 82915G/GV/910GL Express,3,142
Intel 82945G Express,15,13
Intel 82945G Express-Chipsatzfamilie,8,240
Intel 865 Embedded Controller,4,20
"Intel 915G,910G Express",4,166
Intel 915G/915GV/910GL Embedded Controller Functio,5,41
Intel 945G Embedded Chipset Function 0,5,251
Intel 946GZ Embedded Chipset Function 0,3,66
Intel 946GZ Express,3,44
Intel B43 Express Chipset,68,188
Intel Coffee Lake UHD,"1,158",918
Intel Extreme Controller,2,136
Intel G33/G31 Express,87,25
Intel G35 Express,"3,090",384
Intel G41 Express Chipset,81,24
Intel G41 Express-Chipsatz,57,267
Intel G45/G43 Express Chipset,75,30
Intel G45/G43/G41 Express Chipset,68,318
Intel G965 Express,25,39
Intel GMA 3150 Express,3,66
Intel Haswell HD - GT1,123,492
Intel Haswell HD - GT2,139,630
Intel HD 2000,213,456
Intel HD 3000,257,48
Intel HD 4000,333,187
Intel HD 4400,521,283
Intel HD 4600,626,315
Intel HD 500,295,81
Intel HD 5000,563,231
Intel HD 505,339,95
Intel HD 510,619,159
Intel HD 515,620,190
Intel HD 520,866,211
Intel HD 5200,830,653
Intel HD 530,984,247
Intel HD 5300,390,186
Intel HD 5500,582,234
Intel HD 5600,712,595
Intel HD 6000,850,275
Intel HD 610,673,156
Intel HD 615,724,187
Intel HD 630,"1,122",269
Intel HD Family,451,188
Intel HD Graphics 620,922,218
Intel HD manual-15.28-1861,63,72
Intel HD manual-gen9_2015-133271,165,119
Intel HD Modded,112,303
Intel HD P3000,297,104
Intel HD P4000,516,636
Intel HD P4600,605,963
Intel HD P4600/P4700,624,368
Intel HD P530,"1,220",270
Intel HD P630,"1,237",351
Intel i gfx-driver-ci-master-9938,206,47
Intel i gfx-driver-ci-master-9938 DCH-I,573,194
Intel Infoshock HD,194,393
Intel Iris 5100,755,276
Intel Iris 540,"1,258",328
Intel Iris 550,"1,344",308
Intel Iris 6100,907,314
Intel Iris 650,"1,795",764
Intel Iris Plus,"1,849",316
Intel Iris Plus 640,"1,330",343
Intel Iris Plus 645,"1,742",405
Intel Iris Plus 650,"1,587",382
Intel Iris Plus 655,"1,771",368
Intel Iris Pro 5200,"1,020",407
Intel Iris Pro 580,"1,993",371
Intel Iris Pro 6100,925,548
Intel Iris Pro Graphics 6200,"1,429",563
Intel Iris Pro P580,"2,169",573
Intel Iris Pro P6300,"1,654",552
Intel Iris Xe,"2,788",339
Intel Iris Xe MAX,"1,973",315
Intel Media Accelerator,33,78
Intel Media Accelerator 3150,3,86
Intel Media Accelerator 500,3,71
Intel Media Accelerator 600,7,58
Intel Media Accelerator HD,99,40
Intel Poison Ivy,739,783
Intel Q33 Express,5,25
Intel Q35 Embedded,8,303
Intel Q35 Express,146,29
Intel Q45/Q43 Express Chipset,142,29
Intel Q45/Q43 Express-Chipsatz,57,352
Intel Q965/Q963 Express,313,60
Intel Skylake HD DT GT2,577,402
Intel UHD,"1,590",268
Intel UHD 600,328,98
Intel UHD 605,371,112
Intel UHD 610,729,180
Intel UHD 615,761,198
Intel UHD 617,848,270
Intel UHD 620,889,662
Intel UHD 630,"1,297",305
Intel UHD 710,"1,171",324
Intel UHD 730,"1,512",326
Intel UHD 750,"1,777",335
Intel UHD 770,"2,482",437
Intel UHD Graphics 620,"1,037",247
Intel UHD P630,"2,541",326
Intel UHD P750,"1,767",507
Intel UHD ReleaseInternal,"1,959",293
Intel US15 Embedded Media and Controller,7,67
ION,86,20
ION LE,98,96
KV SPECTRE LITE MOBILE 25W,538,291
LMIMIRR,875,515
M71-M,64,141
